fishing boats,colors of,the rainbow
blizzard-,"the slanting lines, piercing lines",our locked hands 
first frost--,the chapel two hours darker,for vespers
white sun,burning through November sky,her nth unanswered call
turning,one leaf at a time-,entries for memorials 
autumn sunset,breaches rain-swept horizon-,as embers sizzle
picking autumn leaves,"off the grass, her grave",nothing but fine rain
pomegranate seeds,bursting in their hands,613 haiku
on an evening trail,of red dragonflies swarming,"in a pool, stars "
leaves crackling-,in her grave tiny hands sweep,leavings of sparrows 
swarm of tiny wings,fades out in the autumn sky-,unfinished journal 
white moonlight,seeps into my sadness-,into a mulch bed
grey skies grey thoughts,so clear as reflections,on rain puddles
crow and I,scanning yards for signs of life,eye at each other
maple twig,turns lemon hue in the rain-,i reply to summer mail
folding beach mats,the whiff of fresh grilled corn,this chilly morning
dawn by the river-,we breach a wall of sand,the cry of a loon
crow browsing grass,steps on camellia blossom-,fractured silence
cloudy day--,my thoughts stuck,on a spider web
A red berry falls,Staining the snow --,A silent sunset.
This dark night;,Only white spots move,On the calico cat.
love again,the scent of cypress,after rain
spring thaw,water from the fridge drips,onto the floor
Post Office --,stamped on the sidewalk,pink blossoms
Suddenly,somewhere in the fog,Crows calling
New year’s day,Donkeys aflank,to sunrise
Oregon summer,The haze from distant wildfires ,turning the moon red
When my time is done,remember I saw swallows,taking their first flight 
Flank to the sunrise,Old donkey taking winter,one day at a time
Withering daisies,Brittle petals littering,the dusty pasture
A young deer peering,at me around the hedgerow,"Then, the silent leap"
October daisy,bedraggled but still upright,The cold morning rain
Herding a young deer,through the gate to its mother,Steady autumn rain
Patient old donkey,waiting for her morning hay,Gray August sunrise
Orion rises,dragging Autumn behind him,Late August morning
Foggy day --,On the Verrazano,the car vanishes
wooden Buddha,with a cracked head on display,no buyers
hibiscus,under the eaves,frost burned petals
the fish lazily surface,in the pond nearby ~,the sun on my teacup
dusk-,an unfinished sweater,on the rocking chair
sleepless night -,the whistle of a distant train,going  where ?
last straw rejection --,the telemarketer tells me,I'm too old
poetry meeting,I try to read my haiku...,a frog in my throat
here and there,breaking through the dusk's mist,bright lights
mountain pass,we rebuild the cairn,to fit the wind
a back road,and a flat tire . . .,the peach blossoms
voices of loons,cross the misted cove,call and response
storm clouds -,the roofer talks about,overtime
nearly eighty -,opening,a jar of preserves
long after,the funeral service,- the unspoken words
rainy day--,they give me back,my shoelaces
paper couture-,she wears my love letter ,close to her heart 
weathered wall-,a hint of the height marks,left behind
backwaters -,i row my boat,into sunshine
orange and fuchsia -,the way the sun sets,on her saree 
prayer lamp -,something of me ,in the moth dust
charcoal graffiti -,a heart on the mud wall,bleeds in rain
masala chai,in an alien street,a whiff of home
collecting shells -,a bit of sea breeze ,in my pocket
autumn rain -,a clay duck’s lidless belly,fills with stars
summer butterfly,a girl wearing a white dress,in the morning breeze
covid-19,a butterfly trapped,between the doors
Valentine’s Day,another heart attack,in the old neighborhood
prairie dogs—,mares tails,over Little Big Horn 
morning fog,a railroad crossing,at the end of the world
ginko,the group returns,with a hundred selfies
Easter Sunday--,my mother's bible,stuffed with obits
spring morning,a railroad bridge,into fog
idle conversation,the daffodils nodding,In the breeze
Indian summer,a yellowed postcard,falls from the book
lighting ,the paper lantern--,autumn sunset
Groundhog Day,another friend,returns to earth
missing you,the cry of the loon,from shore to shore
murmurs in her sleep--,the moon slips behind,the clouds
cold night--,snowflakes settle,on coal cars
winter evening,the last dried pepper,goes into the soup
interstate,an Amish buggy wavers,in a thermal 
dusk,the space between us ,filling with snow
winter solstice,the Virgin Mary receives,a new light bulb
soft jazz,candle light and lip gloss,in the corner 
Earth Day...,slowly the anesthetic,takes effect
August 6--,my father does not say,good morning
cloudburst ,the last nail hammered ,in the rain
autumn chill,the mausoleum covered,with sparrows
autumn chill,the chalkboard screeches,at her touch 
signal station,a woodpecker taps,in the dusk
snow flurries :::,a blue jay's feather,clings to the yard 
snow glare,onion bulbs sprouting ,from the bag
geriatric ward--,the table groans,when they fold it up
sun dog--,so many names,carved on the cliff 
Easter--,an anxious mother calls,in the wind
breathless --,camellias falling,one by one
starless night--,Las Vegas spills,over the desert
fragile morning--,a blue psilocybin in the middle,of the garden
spring wind --,the magnolia sweeps,the sky
night shift --,he tree frogs sing a road,through the forest
a dark horse,with a blue harness --.,winter solstice
cold spring --,burnt waffles,and raspberry jam
mid-summer --,the nighthawk cries between,Pittsburgh and heaven
on the roof late --,my brother hammers nails,in the moon
New sheets.,I remember,your hands.
soft rain . . .,the way the oncologist,"says ""we"""
thinking of her,in the past tense . . .,cloud shadow
the beggar,counting coins . . .,first stars
twin towers,repeating their absence,day after day
waiting for a call,from the son who never calls –,Mother's Day
post-election,washing the dishes,doing the laundry
wave from a kid,riding the carousel . . .,summer's end
abandoned factory . . .,parking spaces marked,Reserved
eighty-third birthday,I read the directions,one more time
a day,at the beach,June 6
night rain ,drumming on,my mind
old friends . . .,the garden fading,into twilight
petals in the wind . . .,my neighbors practise,tai-chi
home for Christmas,the fruitcake we always,pretended to like
autumn leaves,my fear,of falling 
cold moon,the sound of my words,in her eyes
the heat . . .,a silent fountain,drenched in moonlight
trick or treat,I promise the vampire,the dog won't bite
fireworks over . . .,the silence,of the stars
walking home,after the rainbow,a crescent moon
Omaha Beach,the sound of wave,after wave
Memorial Day,old enough to remember,a time between wars
Memorial Day,we try to remember,when the war began
she tells me I missed,a beautiful sunrise,black no sugar
children's voices,who will tell the dandelion,it's a weed
her obituary . . .,the things we did,that summer
a homeless man,rises from the sidewalk,Easter morning
brightening sky,after the eclipse,a skylark's song
steady rain,a little salt,in my beer
crescent moon,the new home still full,of echoes
first pussy willow,I open my notebook,of unfinished poems
the curved back,of a garden Buddha,winter rain
year's end,the time it takes a contrail,to dissolve
deep in the woods,leaves drifting over,what used to be a wall 
autumn light,nobody I know,in the obits
autumn leaves,I follow,their drift
where the carpet,is wearing thin,autumn sunlight
as old as I feel,on a gray morning . . .,autumn equinox
evening calm,her garden the color,of moonlight
awake,in the dark,the darkness
narrow path,I make way,for the butterfly
coming home . . .,the scent of the ocean,before the sound
Labor Day,a fly buzzing around,the leftovers
poor neighborhood,a dog barking at the end,of a rope
vacant lot,hardly worth,a haiku
steady rain,where the bookstore,used to be
class reunion,an old friend's glance,at my name tag 
Easter vigil,candle flames tremble,at our breath
just passing through . . .,a parking lot where I saw,Gone with the Wind
train window,the landscape coming ,to a stop
a furniture store,where the church used to be ,vernal equinox
midnight,the silence beyond,the streetlight
waving goodnight,after the party,the chill
the white coffin,she was buried in,this winter light
first snow,a walk through fallen leaves,to my childhood
harvest moon,the things I have left,undone
harvest moon,she tells him,she's late
downtown,pointing the way,with her cigarette
twelve years old,learning to pronounce,Hiroshima
an infant asleep,on her mother's lap . . .,this heat
the silence,around our words . . .,fireflies
winter moon,a tired old man,in the mirror
the laughter of children,running uphill . . ;,Gettysburg
waiting up,for their teenaged daughter . . .,distant fireworks
evening rain,she lets down,her hair
at the end,of a long afternoon,my faded shadow
awakened,by moonlight,an old regret
only the wind,off the ocean,Omaha Beach
a few petals,left by the sweeper . . .,sunset clouds
locked out,I write a haiku,about daffodils
another spring,who will tell the dandelion,it's a weed
powdering the dog,a child asks if fleas,go to heaven
Valentine's Day,shaking the snow,from the roses
a toast,to the departing year -,snow turns to rain
after a storm,the absence,of a tree
waiting room,the steady hum ,of the fish tank
in the nursing home,she talks about the brother,no one talks about
the morning sun,on grandma's grave,first butterfly
writer's block -,staring out the window,at snowflakes
Easter Sunday,the carefully trimmed beard,of the young priest
reading,the tea leaves . . . the gray,in her hair
new moon,an orange-eyed opossum eat,its dead
the doctor wants,to take a closer look . . .,coffee gone cold
good news,from the cardiologist,autumn butterfly
dusting the books,I'll read when I have time,winter solstice
Indian summer,the slug's pneumostome,wide open
burning leaves,the kiss she'd give,before we'd part 
dried leaves,hurry down the path,standard time
sleeping late,this autumn morning,the bed half empty
crisp wind,the taste of the apple,just after picking it
night wind,the moon in a corner,of the window
on the beach,by the ancient city,sand castle ruins
rain,mixed with snow,spring equinox
Valentine's Day,we let the champagne,go flat
