Force and yielding meet,together: An attack,is half repulsed.
"White mist about the black hedgerows, The slumbering","Midland plain, The silence where the clover grows, And the dead","leaves in the lane, Certainly, these remain."
"And I shall find some girl perhaps,","And a better one than you, With eyes as wise, but","kindlier, And lips as soft, but true."
And I,daresay she,will do.
I came back late and tired last,"night Into my little room, To the long chair and the",firelight And comfortable gloom.
I stood a moment,"fierce and still, Watching",her neck and hair.
I made a step,to her; and saw That there,was no one there.
It was some trick of,the firelight That made,me see her there.
It was a chance,of shade and light And the,cushion in the chair.
"Oh, all you happy","over the earth, That night,",how could I sleep?
I lay and watched the lonely gloom;,"And watched the moonlight creep From wall to basin,","round the room, All night I could not sleep."
Hands and lit faces,eddy to a line; The dazed last minutes,click; the clamour dies.
"Beyond the great-swung arc o' the roof, divine,","Night, smoky-scarv'd, with thousand coloured eyes Glares the",imperious mystery of the way.
"Thirsty for dark, you feel the long-limbed","train Throb, stretch, thrill motion, slide, pull out and sway, Strain","for the far, pause, draw to strength again."
-- There is an,"end appointed, O",my soul!
Crimson and green the,signals burn; the gloom Is hung with steam's,far-blowing livid streamers.
"Lost into God, as lights","in light, we fly, Grown one with","will, end-drunken huddled dreamers."
The white,lights,roar.
The,sounds of the,world die.
And lips and,laughter are,forgotten things.
Speed,sharpens;,grows.
"Into the night, and","on, The strength and splendour of",our purpose swings.
The,lamps fade; and,the stars.
We,are,alone.
"All suddenly the wind comes soft, And",Spring is here again; And the hawthorn quickens,"with buds of green, And my heart with buds of pain."
"My heart all Winter lay so numb,","The earth so dead and frore, That I never thought the","Spring would come, Or my heart wake any more."
"But Winter's broken and earth has woken, And",the small birds cry again; And the hawthorn hedge puts forth,"its buds, And my heart puts forth its pain."
They queerly find some healing,"so, And strange attainment in the touch; There is a secret","lovers know, -- I have read as much."
"And theirs no longer joy nor smart,","Changing or ending, night or day; But mouth to mouth,","and heart on heart, -- So lovers say."
"Young Mary, loitering once her","garden way, Felt a warm splendour grow in the April","day, As wine that blushes water through."
"And soon, Out of the gold air of the afternoon,","One knelt before her:  hair he had, or fire, Bound back above his ears with","golden wire, Baring the eager marble of his face."
Not man's nor woman's was the immortal,"grace Rounding the limbs beneath that robe of white, And lighting","the proud eyes with changeless light, Incurious."
"Calm as his wings,","and fair, That presence",filled the garden.
"She stood there,","Saying, ""What would","you, Sir?"
""" He told","his word, ""Blessed art thou",of women!
Her breath came quick,as little flakes,of snow.
Her hands crept,up her,breast.
She did,but know It was,not hers.
She felt a trembling stir,"Within her body, a will too strong for",her That held and filled and mastered all.
"With eyes Closed, and a thousand","soft short broken sighs, She gave submission;","fearful, meek, and glad."
She,wished to,speak.
Her heart was faint for telling; to relate Her limbs' sweet,"treachery, her strange high estate, Over and over, whispering, half revealing,",Weeping; and so find kindness to her healing.
"'Twixt tears and laughter, panic","hurrying her, She raised her eyes to",that fair messenger.
"He knelt unmoved, immortal; with","his eyes Gazing beyond her, calm to the calm skies;","Radiant, untroubled in his wisdom, kind."
His sheaf,of lilies stirred not,in the wind.
"Being tired,","she bowed her head; And said,","""So be it!"
""" The great wings were",spread Showering glory on the,"fields, and fire."
"The whole air, singing,","bore him up, and higher,","Unswerving, unreluctant."
Soon he shone,A gold speck in the gold,skies; then was gone.
The air,"was colder,",and grey.
"Behind them, broken-hearted, Came GRIEF, so","noisy a widow, that all said, ""Had he but wed Her elder","sister SORROW, in her stead!"
""" And by her, trying to soothe","her all the time, The fatherless children, COLOUR,","TUNE, and RHYME (The sweet lad RHYME), ran all-uncomprehending."
"Then, at the way's","sad ending, Round the raw",grave they stay'd.
"Old WISDOM read, In","mumbling tone, the Service",for the Dead.
"BEAUTY was there, Pale",in her black; dry-eyed; she,stood alone.
"Poor maz'd IMAGINATION; FANCY wild; ARDOUR,","the sunlight on his greying hair; CONTENTMENT, who had known YOUTH",as a child And never seen him since.
"And SPRING came too, Dancing","over the tombs, and brought him flowers",-- She did not stay for long.
LOVE had,died long,ago.
and I know How the May fields all golden,"show, And when the day is young and sweet, Gild gloriously",the bare feet That run to bathe .
'Du,lieber,Gott!
"' Here am I, sweating, sick, and","hot, And there the shadowed waters fresh Lean",up to embrace the naked flesh.
Temperamentvoll German,Jews Drink beer around; -- and THERE the dews Are,soft beneath a morn of gold.
In,"Grantchester,",in Grantchester!
"-- Some, it may be, can",get in touch With Nature,"there, or Earth, or such."
And clever modern men have seen A Faun a-peeping,"through the green, And felt the Classics were not dead, To glimpse a Naiad's","reedy head, Or hear the Goat-foot piping low: ."
But these are,things I do,not know.
Still in the dawnlit waters cool His ghostly,"Lordship swims his pool, And tries the strokes, essays the tricks,","Long learnt on Hellespont, or Styx."
Dan Chaucer hears his river,still Chatter beneath a,phantom mill.
"Tennyson notes, with","studious eye, How Cambridge",waters hurry by .
"Till, at a shiver in the skies, Vanishing with Satanic","cries, The prim ecclesiastic rout Leaves but a startled sleeper-out, Grey heavens,","the first bird's drowsy calls, The falling house that never falls."
"I will pack, and take a","train, And get me to England",once again!
"Strong men have run for miles and miles,","When one from Cherry Hinton smiles; Strong men have blanched,","and shot their wives, Rather than send them to St."
Ives; Strong men have cried like,"babes, bydam, To hear what happened",at Babraham.
In Grantchester their skins are white; They,"bathe by day, they bathe by night; The women there do all they",ought; The men observe the Rules of Thought.
They love the Good; they worship Truth; They,laugh uproariously in youth; (And when they get to feeling,"old, They up and shoot themselves, I'm told) ."
to see the branches,stir Across the moon,at Grantchester!
To smell the thrilling-sweet and rotten,"Unforgettable, unforgotten River-smell, and hear the",breeze Sobbing in the little trees.
"Say, do the elm-clumps greatly",stand Still guardians of that,holy land?
"The chestnuts shade, in","reverend dream, The yet",unacademic stream?
Is dawn a secret,"shy and cold Anadyomene,",silver-gold?
And sunset still,a golden sea From Haslingfield,to Madingley?
"And after, ere the","night is born, Do hares come",out about the corn?
"Oh, is the water","sweet and cool, Gentle and brown,",above the pool?
And laughs the immortal,"river still Under the mill,",under the mill?
"Say, is",there Beauty yet,to find?
"Deep meadows yet,","for to forget The lies,","and truths, and pain?"
yet Stands,the Church clock at,ten to three?
And is,there honey still,for tea?
"Stars that seem so close and bright, Watched","by lovers through the night, Swim in emptiness,","men say, Many a mile and year away."
"And yonder star that burns so white,","May have died to dust and night Ten, maybe, or fifteen","year, Before it shines upon my dear."
"often among men below, Heart cries","out to heart, I know, And one is dust a many","years, Child, before the other hears."
Heart from heart is all,"as far, Fafaia,",as start from star.
Still No,one could see,me.
But you,see,not.
The,way of,love was thus.
He was born one winter,"morn With hands delicious, And",it was well with us.
Love came our quiet,"way, Lit pride in us, and died","in us, All in a winter's day."
There,is no more,to say.
And Innocence,"accounted wise, And Faith the","fool, the pitiable."
"Love so rare, one would swear All of","earth for ever well-- Careless lips and flying hair,",And little things I may not tell.
It does but,double the heart-ache When I,"wake, when I wake."
The,Thing,must End.
I,am,no boy!
I,being,twenty-one.
"Uncle, you make A great mistake,","a very great mistake, In chiding","me for letting slip a ""Damn!"
""" What's more, you called me ""Mother's","one ewe lamb,"" Bade me ""refrain from swearing--for","her sake-- Till I'm grown up"" ."
I think you,"take Too much upon you,",Uncle William!
You say I,am your brother's,only son.
I,know,it.
"And,","""What",of it?
Something,must be,done.
"So shall I curb, so baffle, so","suppress This too avuncular officiousness,",Intolerable consanguinity.
